emotion,paths,share_of_single
joy,580531,0.17951254356154894
gratitude,372269,0.11511349967377155
overwhelm,277435,0.08578880804470103
loneliness,255204,0.07891450959049826
anger,244761,0.07568531167959727
guilt,195353,0.060407306280593584
shame,191948,0.059354407794850225
anxiety,180162,0.05570992569412449
irritation,148765,0.046001304913835486
disappointment,139437,0.04311688873908835
calm,116060,0.03588822268880279
confusion,105750,0.03270015120920985
sadness,89625,0.027713957939720403
clarity,73809,0.022823314048232336
tiredness,73315,0.02267055873194534
disconnection,66591,0.020591354791229248
frustration,53131,0.016429236254340694
contentment,38751,0.011982634132464216
tension,30112,0.009311271425169994
fear,921,0.00028479280627595526
